,ID,Date,Block,Primary Type,Description,Location Description,Arrest,District,Ward,Community Area,Year,Updated On,Location,Census Tracts,Wards
569711,10899202,04/03/2017 11:13:00 AM,047XX N BERNARD ST,THEFT,FROM BUILDING,GOVERNMENT BUILDING/PROPERTY,False,17.0,33.0,14.0,2017.0,02/10/2018 03:50:01 PM,"(41.967468351, -87.714558048)",118.0,20.0
532401,10956334,05/24/2017 11:16:00 AM,016XX W 66TH ST,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,VEHICLE NON-COMMERCIAL,True,7.0,15.0,67.0,2017.0,02/10/2018 03:50:01 PM,"(41.774008535, -87.664433011)",280.0,3.0
719735,10668852,09/04/2016 12:00:00 PM,049XX N MONTICELLO AVE,ASSAULT,SIMPLE,RESIDENCE,False,17.0,39.0,14.0,2016.0,02/10/2018 03:50:01 PM,"(41.97098302, -87.719547239)",127.0,20.0
196212,11418705,08/19/2018 02:00:00 AM,062XX S INDIANA AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,3.0,20.0,40.0,2018.0,08/26/2018 04:00:33 PM,"(41.781463403, -87.620398414)",404.0,4.0
402201,11146367,11/08/2017 08:00:00 AM,042XX W LAKE ST,THEFT,$500 AND UNDER,STREET,False,11.0,28.0,26.0,2017.0,02/10/2018 03:50:01 PM,"(41.885818982, -87.73204506)",619.0,23.0
193720,11422432,08/22/2018 12:45:00 PM,036XX S WENTWORTH AVE,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,True,9.0,3.0,34.0,2018.0,09/01/2018 04:07:12 PM,"(41.828851109, -87.631460054)",296.0,9.0
96351,11555719,01/03/2019 01:30:00 PM,002XX W EVERGREEN AVE,THEFT,$500 AND UNDER,STREET,False,18.0,27.0,8.0,2019.0,01/10/2019 03:16:50 PM,"(41.906684967, -87.635303024)",290.0,46.0
390633,11159315,11/24/2017 09:45:00 PM,049XX S CALUMET AVE,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,2.0,3.0,38.0,2017.0,02/10/2018 03:50:01 PM,"(41.805263702, -87.618051298)",449.0,9.0
486197,11029413,07/21/2017 04:30:00 PM,109XX S DOTY AVE E,ASSAULT,SIMPLE,DEPARTMENT STORE,False,5.0,10.0,51.0,2017.0,02/10/2018 03:50:01 PM,"(41.695908161, -87.595822806)",174.0,47.0
275286,11313999,05/13/2018 05:36:00 PM,021XX W CULLERTON ST,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,True,12.0,25.0,31.0,2018.0,05/20/2018 03:51:43 PM,"(41.854877906, -87.679385828)",4.0,26.0
611510,10835065,01/31/2017 05:15:00 PM,030XX W JACKSON BLVD,ROBBERY,ARMED: HANDGUN,STREET,False,11.0,28.0,27.0,2017.0,02/14/2017 03:49:42 PM,"(41.877369643, -87.701415852)",737.0,23.0
207157,11404069,08/05/2018 06:47:00 PM,015XX S RIDGEWAY AVE,NARCOTICS,POSS: CRACK,ALLEY,True,10.0,24.0,29.0,2018.0,08/12/2018 03:59:11 PM,"(41.859912232, -87.718892563)",33.0,14.0
717947,10671354,09/06/2016 04:58:00 PM,001XX E 93RD ST,THEFT,$500 AND UNDER,RESIDENCE,False,6.0,6.0,49.0,2016.0,02/10/2018 03:50:01 PM,"(41.725447228, -87.620039943)",554.0,43.0
257821,11336818,06/04/2018 07:52:00 AM,030XX W 19TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,10.0,24.0,30.0,2018.0,06/11/2018 03:52:24 PM,"(41.85547723, -87.701143205)",201.0,14.0
701986,10695803,09/26/2016 09:00:00 PM,044XX S BERKELEY AVE,THEFT,OVER $500,STREET,False,2.0,4.0,39.0,2016.0,02/10/2018 03:50:01 PM,"(41.814050452, -87.600569421)",395.0,10.0
284133,11302447,05/02/2018 06:00:00 AM,118XX S SANGAMON ST,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,5.0,34.0,53.0,2018.0,05/09/2018 03:51:40 PM,"(41.679015355, -87.645602623)",642.0,22.0
559590,10914909,04/17/2017 05:05:00 PM,042XX W JACKSON BLVD,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,11.0,28.0,26.0,2017.0,02/10/2018 03:50:01 PM,"(41.877011332, -87.73178614)",717.0,23.0
723659,10663485,08/30/2016 07:20:00 PM,005XX N LEAMINGTON AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,15.0,28.0,25.0,2016.0,02/10/2018 03:50:01 PM,"(41.890224873, -87.75420507)",694.0,45.0
572562,10896494,03/30/2017 03:30:00 PM,0000X W WACKER DR,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,MEDICAL/DENTAL OFFICE,False,1.0,42.0,32.0,2017.0,02/10/2018 03:50:01 PM,"(41.886819497, -87.629019044)",92.0,36.0
679480,10731126,10/26/2016 07:25:00 PM,079XX S LAFAYETTE AVE,ASSAULT,SIMPLE,GAS STATION,True,6.0,17.0,44.0,2016.0,02/10/2018 03:50:01 PM,"(41.750782715, -87.625813624)",1.0,31.0
145121,11488076,10/26/2018 02:00:00 AM,077XX S DAMEN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,False,6.0,18.0,71.0,2018.0,11/02/2018 04:18:21 PM,"(41.752974853, -87.673212493)",573.0,31.0
87230,11569474,01/16/2019 09:00:00 PM,030XX S HALSTED ST,THEFT,RETAIL THEFT,DRUG STORE,False,9.0,11.0,60.0,2019.0,01/23/2019 11:26:56 AM,"(41.839410287, -87.646313633)",59.0,48.0
699476,10701795,09/30/2016 02:00:00 PM,036XX N NORDICA AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,16.0,36.0,17.0,2016.0,02/10/2018 03:50:01 PM,"(41.945994466, -87.803335995)",444.0,19.0
15660,11679486,05/07/2019 05:14:00 PM,019XX S LAWNDALE AVE,NARCOTICS,POSS: COCAINE,STREET,True,10.0,24.0,29.0,2019.0,05/14/2019 04:14:52 PM,"(41.854754111, -87.717558103)",800.0,14.0
42726,11638302,03/29/2019 10:15:00 AM,002XX S LAFLIN ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,12.0,27.0,28.0,2019.0,04/05/2019 04:07:16 PM,"(41.878556485, -87.664342629)",91.0,23.0
542978,10941861,05/10/2017 12:45:00 PM,009XX W BELMONT AVE,THEFT,$500 AND UNDER,OTHER,False,19.0,44.0,6.0,2017.0,02/10/2018 03:50:01 PM,"(41.93991842, -87.653288878)",681.0,25.0
476417,11040080,08/02/2017 06:00:00 PM,038XX S DR MARTIN LUTHER KING JR DR,BATTERY,DOMESTIC BATTERY SIMPLE,GROCERY FOOD STORE,True,2.0,4.0,35.0,2017.0,02/10/2018 03:50:01 PM,"(41.824675709, -87.617013434)",222.0,10.0
436955,11096486,09/22/2017 04:46:00 PM,063XX S LAFLIN ST,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,7.0,16.0,67.0,2017.0,02/10/2018 03:50:01 PM,"(41.778924462, -87.66176418)",279.0,2.0
119588,11529337,12/01/2018 01:51:00 PM,014XX N PAULINA ST,THEFT,$500 AND UNDER,SIDEWALK,False,14.0,2.0,24.0,2018.0,12/12/2018 04:09:45 PM,"(41.907362889, -87.670041034)",482.0,11.0
